"Synovus Financial Corp.","synovus financial corporation"
"Dawson Bancshares, Inc.","dawson bancshares"
"Magnolia Bankshares, Inc.","magnolia bankshares"
"Brand Group Holdings, Inc.","brand group holdings"
"Lincoln Bancshares, Inc.","lincoln bancshares"
"Georgia Community Bancorp, Incorporated","georgia community bancorp incorporated"
"Soperton Bancshares, Incorporated","soperton bancshares incorporated"
"First Forest Corporation","first forest corporation"
"Gerber Bancshares, Inc.","gerber bancshares"
"Byron Bancshares, Inc.","byron bancshares"
"Amalgamated Investments Company","amalgamated investments company"
"Northern Trust Corporation","northern trust corporation"
"Cowden Bancorp, Inc.","cowden bancorp"
"Central Bancshares, Inc.","central bancshares"
"Geneva Bancshares, Inc.","geneva bancshares"
"Peoples Financial Corp. Of Illinois, Inc.","peoples financial corp of illinois"
"Arthur R. Murray, Inc.","arthur r murray"
"Tnb Bancorp, Inc.","tnb bancorp"
"Citizens Bancshares, Inc.","citizens bancshares"
"Mid-Iowa Bancshares Co.","mid-iowa bancshares co"
"Btc Financial Corporation","btc financial corporation"
"First Fontanelle Employee Stock Ownership Plan And Trust","first fontanelle employee stock ownership plan and trust"
"Fort Madison Financial Company","fort madison financial company"
"Glenwood Bancorporation","glenwood"
"Ida Grove Bancshares, Inc.","ida grove bancshares"
"Iowa First Bancshares Corp.","iowa first bancshares corporation"
"Htb, Inc.","htb"
"Royal Bancshares, Inc.","royal bancshares"
"Storm Lake Security Bancorporation","storm lake security"
"Blissfield Bank Corporation","blissfield bank corporation"
"Eastern Michigan Financial Corporation","eastern michigan financial corporation"
"Comerica Incorporated","comerica incorporated"
"Jones Bancorp, Inc.","jones bancorp"
"Capital Directions, Inc.","capital directions"
"Chemical Financial Corporation","chemical financial corporation"
"Isabella Bank Corporation","isabella bank corporation"
"Choiceone Financial Services, Inc.","choiceone financial services"
"Montfort Bancorporation, Inc.","montfort"
"Farmers Bancorp Inc.","farmers bancorp"
"Fbt Bancshares, Inc.","fbt bancshares"
"Banc Ed Corp., The","banc ed corp the"
"Midland States Bancorp, Inc.","midland states bancorp"
"Lbt Bancshares, Inc.","lbt bancshares"
"Steeleville Bancshares, Inc.","steeleville bancshares"
"Hartland Financial, Inc.","hartland financial"
"Central Missouri Shares, Inc.","central missouri shares"
"Stupp Bros., Inc.","stupp bros"
"Wood & Huston Bancorporation, Inc.","wood & huston"
"Bremen Bancorp, Inc.","bremen bancorp"
"Cass Information Systems, Inc.","cass information systems"
"Delta Bancshares Company","delta bancshares company"
"First Illinois Bancorp, Inc.","first illinois bancorp"
"Bov Holding Company","bov holding company"
"S.B.e. Corp.","sbe corporation"
"Ewen Bancshares, Inc.","ewen bancshares"
"Baybank Corporation","baybank corporation"
"Central Bank Corporation","central bank corporation"
"Johnson Bancshares, Inc.","johnson bancshares"
"Wrz Bankshares, Inc.","wrz bankshares"
"First Interstate Bancsystem, Inc.","first interstate bancsystem"
"S.B.t. Financial, Inc.","sbt financial"
"First State Banking Corporation","first state banking corporation"
"Leackco Bank Holding Company, Inc.","leackco bank holding company"
"Fidelity Corporation","fidelity corporation"
"H & W Holding Company","h & w holding company"
"Heartland Financial Usa, Inc.","heartland financial usa"
"Peoples Bankshares Ltd., The","peoples bankshares ltd the"
"First Business Financial Services, Inc.","first business financial services"
"Fidelity Kansas Bankshares, Inc.","fidelity kansas bankshares"
"Hohl Financial, Inc.","hohl financial"
"Employee Stock Bonus Trust For The Employees Of Citizens Bank","employee stock bonus trust for the employees of citizens bank"
"Ucsb Financial Corporation","ucsb financial corporation"
"Northeastern Wyoming Bank Corporation, Inc.","northeastern wyoming bank corporation"
"Sundance State Bank Profit Sharing And Employee Stock Ownership Plan And Trust","sundance state bank profit sharing and employee stock ownership plan and trust"
"Arrowhead Company","arrowhead company"
"Guaranty Bancshares, Inc.","guaranty bancshares"
"Nacogdoches Commercial Bancshares, Inc.","nacogdoches commercial bancshares"
"Vista Bancshares, Inc.","vista bancshares"
"Roscoe Financial Corporation","roscoe financial corporation"
"First State Bankshares, Inc.","first state bankshares"
"Wsb Bancshares, Inc.","wsb bancshares"
"Palomar Enterprises, Llc","palomar enterprises llc"
"Ireland Bancorp, Ltd.","ireland bancorp"
"Gv Bancorp Employee Stock Ownership Plan","gv bancorp employee stock ownership plan"
"W.T.b. Financial Corporation","wtb financial corporation"
"Magnolia Banking Corporation","magnolia banking corporation"
"Fnbc Bancorp Inc","fnbc bancorp"
"Wilkinson Banking Corporation","wilkinson banking corporation"
"Little River Bancshares Inc","little river bancshares"
"Evolve Bancorp, Inc","evolve bancorp"
"Farmers & Merchants Bancorp","farmers & merchants bancorp"
"Valley View Bancshares, Inc.","valley view bancshares"
"Pbt Bancshares, Inc.","pbt bancshares"
"Grant Bancshares, Inc.","grant bancshares"
"Commerce Bancshares, Inc.","commerce bancshares"
"Citizens Bancorporation, Inc.","citizens"
"Feliciana Bancshares, Inc.","feliciana bancshares"
"Belle Plaine Bancorporation, Inc.","belle plaine"
"J & B Financial Holdings, Inc.","j & b financial holdings"
"Ormsby Bancshares, Inc.","ormsby bancshares"
"Freedom Bancorporation, Inc.","freedom"
"Arlco, Inc.","arlco"
"Frandsen Financial Corporation","frandsen financial corporation"
"West 12 Bancorporation, Inc.","west 12"
"Forstrom Bancorporation, Inc.","forstrom"
"Kensington Bancorp., Inc.","kensington bancorp"
"Darwin Bancshares, Inc.","darwin bancshares"
"Klein Financial, Inc.","klein financial"
"Mille Lacs Bancorporation, Inc.","mille lacs"
"Wilson Bancshares, Inc.","wilson bancshares"
"Cabool State Bank Employee Stock Ownership Plan","cabool state bank employee stock ownership plan"
"Clifford Bancshares, Inc.","clifford bancshares"
"Security State Bancshares, Inc.","security state bancshares"
"Mid-Mo Bancshares, Inc.","mid-mo bancshares"
"Platte Valley Cattle Company","platte valley cattle company"
"Exchange Company","exchange company"
"Ub, Inc.","ub"
"American Interstate Bancorporation, Inc.","american interstate"
"Holland Bancorp, Inc.","holland bancorp"
"Security Bancorp Of Tennessee, Inc.","security bancorp of tennessee"
"Peoples Bancorp, Inc.","peoples bancorp"
"Dyer F & M Bancshares, Inc.","dyer f & m bancshares"
"Frankewing Bancshares, Inc.","frankewing bancshares"
"First Farmers And Merchants Corporation","first farmers and merchants corporation"
"Briscoe Ranch, Inc.","briscoe ranch"
"Clayton Bankshares, Inc.","clayton bankshares"
"Markesan Bancshares, Inc.","markesan bancshares"
"Dbt Financial Corporation","dbt financial corporation"
"M. D. Thompson & Son Co.","m d thompson & son co"
"Bainum Bancorp","bainum bancorp"
"Southern Bancorp, Inc","southern bancorp"
"1867 Western Financial Corporation","1867 western financial corporation"
"Ames National Corporation","ames national corporation"
"Bradley Bancorp, Inc.","bradley bancorp"
"Ajj Bancorp, Inc.","ajj bancorp"
