"tickers","names"
"FULT","Fulton Financial Corp"
"AROW","Arrow Financial Corp"
"EMCF","Emclaire Financial Corp"
"CCNE","Cnb Financial Corp"
"STBA","S&T Bancorp"
"NWFL","Norwood Financial"
"WASH","Washington Trust Bancorp"
"FCF","First Commonwealth Financial Corp"
"LBAI","Lakeland Bancorp"
"BMTC","Bryn Mawr Bank Corp"
"BKJ","Bancorp of New Jersey Inc"
"BHB","Bar Harbor Bankshares"
"EBTC","Enterprise Bancorp Inc"
"MBFI","MB Financial Inc"
"CNOB","Connectone Bancorp Inc"
"VLY","Valley National Bancorp"
"BCBP","Bcb Bancorp Inc. [Nj]"
"GLBZ","Glen Burnie Bancorp"
"UBNK","United Financial Bancorp Inc"
"BPFH","Boston Private Financial Holdings"
"PWOD","Penns Woods Bancorp"
"TRST","Trustco Bank Corp NY"
"FSBW","FS Bancorp Inc"
"SFBC","Sound Financial Inc"
"HTBK","Heritage Commerce Corp"
"PFBC","Preferred Bank"
"CACB","Cascade Bancorp"
"BOCH","Bank of Commerce Holdings [Ca]"
"FFNW","First Financial Northwest"
"WAL","Western Alliance Bancorporation"
"FRC","First Republic Bank"
"AMRB","American River Bankshares"
"CUNB","California United Bk"
"BBCN","Bbcn Bancorp Inc"
"PCBK","Pacific Continental Corporation [Ore]"
"NRIM","Northrim Bancorp Inc"
"CWBC","Community West Bancshares"
"TCBK","Trico Bancshares"
"WIBC","Wilshire Bancorp"
"COLB","Columbia Banking System"
"SSBI","Summit State Bank"
"OVLY","Oak Valley Bancorp [Ca]"
"CVCY","Central Valley Community Bancorp"
"BMRC","Bank of Marin Bancorp"
"GBNK","Guaranty Bancorp"
"CATY","Cathay General Bancorp"
"PLBC","Plumas Bancorp"
"BSRR","Sierra Bancorp"
"UBFO","United Security Bancshares"
"PMBC","Pacific Mercantile Bancorp"
"PUB","People's Utah Bancorp"
"BOH","Bank of Hawaii Corp"
"CFNB","California First National Bancorp"
"COBZ","Cobiz Financial Inc"
"CVBF","Cvb Financial Corp"
"CPF","Central Pacific Financial Co"
"HAFC","Hanmi Financial Corp"
"EWBC","East West Bancorp"
"WABC","Westamerica Bancorporation"
"HEOP","Heritage Oaks Bancorp"
"GBCI","Glacier Bancorp"
"LSBG","Lake Sunapee Bank Group"
"ZION","Zions Bancorporation"
"SIVB","Svb Financial Group"
"UMPQ","Umpqua Holdings Corp"
"PACW","Pacwest Bancorp"
"BOFI","Bofi Holding"
"MBTF","M B T Financial Corp"
"EFSC","Enterprise Financial Services Corp"
"OSBC","Old Second Bancorp"
"UBOH","United Bancshares"
"QCRH","Qcr Holdings"
"MCBC","Macatawa Bank Corp"
"BYLK","Baylake Corp"
"MBWM","Mercantile Bank Corp"
"GABC","German American Bancorp"
"CIVB","Civista Bancshares Inc"
"IBCP","Independent Bank Corp"
"EBMT","Eagle Bancorp Montana"
"LKFN","Lakeland Financial Corp"
"FMNB","Farmers Natl Banc Corp Oh"
"PVTB","Privatebancorp"
"FCLF","First Clover Leaf Financial"
"UBCP","United Bancorp"
"BUSE","First Busey Corp"
"FBIZ","First Business Financial Services"
"CHFC","Chemical Financial Corp"
